Removed Pin From Net: NetName=3.3V_AUX Pin=C174-2
Removed Pin From Net: NetName=3.3V Pin=C215-1
Removed Pin From Net: NetName=3.3V Pin=C216-2
Removed Pin From Net: NetName=3.3V Pin=C217-1
Removed Pin From Net: NetName=3.3V Pin=C218-1
Removed Pin From Net: NetName=3.3V Pin=C219-2
Removed Pin From Net: NetName=USB_TCK Pin=IC10-4
Removed Pin From Net: NetName=USB_TMS Pin=IC12-5
Removed Pin From Net: NetName=3.3V Pin=L4-2
Removed Pin From Net: NetName=3.3V_AUX Pin=P0-D5
Removed Pin From Net: NetName=3.3V Pin=R177-2
Removed Pin From Net: NetName=3.3V Pin=R185-2
Removed Pin From Net: NetName=3.3V Pin=R196-2
Removed Pin From Net: NetName=GND Pin=R207-1
Removed Pin From Net: NetName=3.3V Pin=R216-2
Removed Member From Class: ClassName=U_USB_JTAG Member=C195
Removed Member From Class: ClassName=U_USB_JTAG Member=D5
Removed Member From Class: ClassName=U_USB_JTAG Member=D6
Removed Member From Class: ClassName=U_USB_JTAG Member=J3
Removed Member From Class: ClassName=U_USB_JTAG Member=R207
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DA_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DA_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DB_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DB_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DC_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DC_P
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DD_N
Removed Member From Class: ClassName=HSDIFF Member=CPtp08-DD_P
Change Component Footprint: Designator=R207 Old Footprint=RESC1005X40N New Footprint=RESC1608X55N
Change Component Comment : Designator=R207 Old Comment=1k New Comment=2k37
Change component parameters: Designator = "R207"; Footprint = "RESC1608X55N"; UniqueID = "\URLXRHWU\ERIBKRQF\YZCXVILM"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "MURATA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "GRM155R71H103KA88D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CC0402_10NF_50V_10%_X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "SMD Multilayer Chip Ceramic Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CC0402_10NF_50V_10%_X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C273(CAPC1005X55N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM MR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "08/01/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_MURATA_GRM.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "08/01/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "MURATA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "GRM155R71H103KA88D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CC0402_10NF_50V_10%_X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "SMD Multilayer Chip Ceramic Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CC0402_10NF_50V_10%_X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C274(CAPC1005X55N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentHeight"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "10/05/2017"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_TAIYO-YUDEN_TMK105B7104KVHF.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "10/05/2017"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TAIYO YUDEN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "TMK105B7104KVHF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "SMD Multilayer Chip Ceramic Capacitor (High Dielectric Type) for Automotive / Industrial Applications"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CC0402_100NF_25V_10%_X7R_YUDEN_TMK105B7104KVHF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "Not Recommended"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
Added Component: Designator=C275(CAPC1005X55N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Author"; Value = "CERN DEM MR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "08/01/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X7R_MURATA_GRM.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "08/01/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "MURATA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "GRM155R71H103KA88D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CC0402_10NF_50V_10%_X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "SMD Multilayer Chip Ceramic Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CC0402_10NF_50V_10%_X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=IC19(SOT95P270X145-5N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Bonding"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "SOT23-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentHeigth"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "2018-01-01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device"; Value = "MAX4372FEUK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "2018-01-01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Maxim"; VariantName = "[No Variations]"
